fid,z,CoordX_SM,CoordY_SM,ID_SM
1,196.18,560790.0,9582457.0,1
2,371.47,560064.0,9582940.0,2
3,328.28,560254.0,9582864.0,3
4,332.22,560662.0,9582573.0,4
5,217.82,560376.0,9582631.0,5
6,205.0,560068.04,9582877.78,6
7,283.65,560383.72,9582804.89,7
8,299.99,560466.0,9582696.0,8
9,382.19,560674.0,9582426.0,9
10,308.89,560726.0,9582458.0,10
11,271.89,560335.0,9582782.0,11
12,276.85,560661.0,9582573.0,12
13,292.34,560578.0,9582701.0,13
14,278.78,560176.0,9582792.0,14
15,303.03,560337.02,9582499.13,15
16,170.99,560820.0,9582394.0,16
17,246.91,560153.0,9582625.0,17
18,328.28,559970.0,9582807.0,18
19,282.57,560556.0,9582287.0,19
20,319.44,560354.56,9582582.41,20
21,300.17,560266.96,9582807.43,21
22,340.53,560449.0,9582762.0,22
23,240.66,560703.0,9582341.0,23
24,321.09,560597.0,9582555.0,24
25,319.6,560693.0,9582638.0,25
26,319.72,560699.0,9582600.0,26
27,319.56,560683.0,9582603.0,27
28,319.51,560670.0,9582610.0,28
29,319.35,560685.0,9582625.0,29
30,267.62,560682.0,9582577.0,30
31,175.48,560525.0,9582292.0,31
32,380.39,560422.0,9582763.0,32
33,312.0,560546.0,9582638.0,33
34,267.62,560663.0,9582572.0,34
35,240.98,560295.0,9582725.0,35
36,248.67,560515.0,9582609.0,36
37,249.56,560367.0,9582600.0,37
38,202.03,560152.0,9582925.0,38
39,222.22,560645.0,9582633.0,39
40,363.73,560675.0,9582481.0,40
41,373.13,560346.0,9582562.0,41
42,220.0,560021.0,9582965.0,42
43,361.11,560494.0,9582467.0,43
44,207.23,560360.0,9582598.0,44
45,263.89,560356.0,9582595.0,45
46,263.99,560165.0,9582867.0,46
47,716.14,560580.0,9582527.0,47
48,533.33,560513.0,9582612.0,48
49,327.04,560260.0,9582703.0,49
50,525.97,560217.0,9582900.0,50
51,496.63,560487.0,9582539.0,51
52,555.72,560233.0,9582754.0,52
53,193.75,560179.0,9582895.0,53
54,583.33,560340.0,9582548.0,54
55,203.39,560126.0,9582735.0,55
56,493.33,560046.0,9582796.0,56
57,272.4,560493.0,9582738.0,57
58,305.68,560709.0,9582420.0,58
59,166.67,560501.0,9582465.0,59
60,361.11,560350.0,9582575.0,60
61,200.44,560168.0,9582575.0,61
62,246.13,560501.0,9582381.0,62
63,279.13,559992.0,9582869.0,63
64,450.0,560567.65,9582390.95,64
65,381.82,560211.0,9582853.0,65
66,203.49,560183.0,9582556.0,66
67,388.89,560471.0,9582660.0,67
68,203.49,560166.0,9582553.0,68
69,320.0,560058.0,9582986.0,69
70,199.69,560782.0,9582390.0,70
