Coord_X,Coord_Y
560431.8887701217,9582809.183460845
560437.4228870024,9582805.994500482
560686.9547387062,9582668.50869855
560806.2321131496,9582597.278790288
560848.5640946059,9582570.322740192
561072.4,9582444.54
561090.25,9582400.27
561093.26,9582397.62
561095.34,9582389.83
561105.09,9582372.56
561105.3666865884,9582360.797225786
561102.1,9582358.36
561086.17,9582356.45
561069.01,9582346.06
561066.51,9582342.92
561059.35,9582339.3
561058.93,9582335.3
561061.18,9582331.96
561071.38,9582325.62
561072.87,9582317.76
561072.18,9582309.81
561059.06,9582289.04
561053.92,9582283.72
561046.94,9582279.68
561042.54,9582273.0
561041.3,9582269.07
561039.17,9582265.65
561037.11,9582257.89
561020.19,9582240.82
561013.13,9582237.04
561005.16,9582237.52
561001.21,9582238.33
560992.22,9582246.32
560979.2913366397,9582267.471917912
560967.9642544177,9582282.738854822
560957.33,9582288.96
560953.43,9582290.07
560941.6164762058,9582289.633600522
560934.27,9582285.72
560924.79,9582278.41
560917.8,9582264.02
560915.8,9582256.3
560913.9761840315,9582253.075654374
560911.06,9582245.4
560913.96,9582237.92
560910.2160626661,9582229.901421512
560908.13,9582219.04
560910.89,9582206.54
560909.01,9582188.04
560903.3,9582177.63
560902.99,9582171.67
560901.73,9582168.84
560895.46,9582162.26
560891.06,9582159.12
560885.73,9582157.24
560876.0,9582157.24
560867.84,9582159.44
560863.6790910362,9582161.903251873
560858.9563851578,9582163.467393415
560850.59,9582164.77
560828.1255911257,9582162.810175052
560824.43,9582161.31
560822.86,9582157.86
560812.51,9582151.9
560806.8678844183,9582144.086233651
560804.98,9582136.53
560800.9,9582129.32
560797.45,9582127.44
560794.31,9582121.48
560792.87,9582117.4
560781.59,9582098.76
560766.28,9582080.53
560549.5131449566,9582132.472956415
560409.14,9582166.11
560359.59,9582121.68
560310.61,9582159.01
560342.6,9582205.58
560346.09,9582262.75
560340.51,9582284.36
560330.74,9582299.0
560312.8403664075,9582340.993167344
560325.3806446643,9582404.935683383
560330.2492470284,9582417.227917308
560272.5582071455,9582458.083011365
560221.5817725448,9582495.964952303
560197.8337463202,9582512.859840699
560168.7038717616,9582532.174214046
560155.0888216962,9582546.105893183
560146.3023649675,9582559.958415052
560079.7334401472,9582763.338693863
559899.9718701579,9582803.073092235
559893.982355415,9582807.190656181
559954.2668332323,9582922.657016207
559944.85064146,9582932.130741576
559892.6065209897,9582945.955848964
559902.2347651246,9582961.764551135
559976.2665506141,9583056.782015193
560192.11,9582931.41
560431.8887701217,9582809.183460845
