CoordX_SM,CoordY_SM,Classe
559897.6065209897,9582805.53,2.0
559897.6065209897,9582945.53,2.0
559907.6065209897,9582805.53,2.0
559907.6065209897,9582815.53,2.0
559907.6065209897,9582825.53,2.0
559907.6065209897,9582945.53,2.0
559907.6065209897,9582955.53,2.0
559907.6065209897,9582965.53,2.0
559917.6065209897,9582805.53,2.0
559917.6065209897,9582815.53,2.0
559917.6065209897,9582825.53,2.0
559917.6065209897,9582835.53,2.0
559917.6065209897,9582845.53,2.0
559917.6065209897,9582945.53,2.0
559917.6065209897,9582955.53,2.0
559917.6065209897,9582965.53,2.0
559917.6065209897,9582975.53,2.0
559927.6065209897,9582805.53,2.0
559927.6065209897,9582815.53,2.0
559927.6065209897,9582825.53,2.0
559927.6065209897,9582835.53,2.0
559927.6065209897,9582845.53,2.0
559927.6065209897,9582855.53,2.0
559927.6065209897,9582865.53,2.0
559927.6065209897,9582945.53,2.0
559927.6065209897,9582955.53,2.0
559927.6065209897,9582965.53,2.0
559927.6065209897,9582975.53,2.0
559927.6065209897,9582985.53,2.0
559937.6065209897,9582795.53,2.0
559937.6065209897,9582805.53,2.0
559937.6065209897,9582815.53,2.0
559937.6065209897,9582825.53,2.0
559937.6065209897,9582835.53,2.0
559937.6065209897,9582845.53,2.0
559937.6065209897,9582855.53,2.0
559937.6065209897,9582865.53,2.0
559937.6065209897,9582875.53,2.0
559937.6065209897,9582885.53,2.0
559937.6065209897,9582935.53,2.0
559937.6065209897,9582945.53,2.0
559937.6065209897,9582955.53,2.0
559937.6065209897,9582965.53,2.0
559937.6065209897,9582975.53,2.0
559937.6065209897,9582985.53,2.0
559937.6065209897,9582995.53,2.0
559937.6065209897,9583005.53,2.0
559947.6065209897,9582795.53,2.0
559947.6065209897,9582805.53,2.0
559947.6065209897,9582815.53,2.0
559947.6065209897,9582825.53,2.0
559947.6065209897,9582835.53,2.0
559947.6065209897,9582845.53,2.0
559947.6065209897,9582855.53,2.0
559947.6065209897,9582865.53,2.0
559947.6065209897,9582875.53,2.0
559947.6065209897,9582885.53,2.0
559947.6065209897,9582895.53,2.0
559947.6065209897,9582905.53,2.0
559947.6065209897,9582935.53,2.0
559947.6065209897,9582945.53,2.0
559947.6065209897,9582955.53,2.0
559947.6065209897,9582965.53,2.0
559947.6065209897,9582975.53,2.0
559947.6065209897,9582985.53,2.0
559947.6065209897,9582995.53,2.0
559947.6065209897,9583005.53,2.0
559947.6065209897,9583015.53,2.0
559957.6065209897,9582795.53,2.0
559957.6065209897,9582805.53,2.0
559957.6065209897,9582815.53,2.0
559957.6065209897,9582825.53,2.0
559957.6065209897,9582835.53,2.0
559957.6065209897,9582845.53,2.0
559957.6065209897,9582855.53,2.0
559957.6065209897,9582865.53,2.0
559957.6065209897,9582875.53,2.0
559957.6065209897,9582885.53,2.0
559957.6065209897,9582895.53,2.0
559957.6065209897,9582905.53,2.0
559957.6065209897,9582915.53,2.0
559957.6065209897,9582925.53,2.0
559957.6065209897,9582935.53,2.0
559957.6065209897,9582945.53,2.0
559957.6065209897,9582955.53,2.0
559957.6065209897,9582965.53,2.0
559957.6065209897,9582975.53,2.0
559957.6065209897,9582985.53,2.0
559957.6065209897,9582995.53,2.0
559957.6065209897,9583005.53,2.0
559957.6065209897,9583015.53,2.0
559957.6065209897,9583025.53,2.0
559967.6065209897,9582795.53,2.0
559967.6065209897,9582805.53,2.0
559967.6065209897,9582815.53,2.0
559967.6065209897,9582825.53,2.0
559967.6065209897,9582835.53,2.0
559967.6065209897,9582845.53,2.0
559967.6065209897,9582855.53,2.0
559967.6065209897,9582865.53,2.0
559967.6065209897,9582875.53,2.0
559967.6065209897,9582885.53,2.0
559967.6065209897,9582895.53,2.0
559967.6065209897,9582905.53,2.0
559967.6065209897,9582915.53,2.0
559967.6065209897,9582925.53,2.0
559967.6065209897,9582935.53,2.0
559967.6065209897,9582945.53,2.0
559967.6065209897,9582955.53,2.0
559967.6065209897,9582965.53,1.0
559967.6065209897,9582975.53,1.0
559967.6065209897,9582985.53,2.0
559967.6065209897,9582995.53,2.0
559967.6065209897,9583005.53,2.0
